name,link,date_of_birth,age,height,weight,spike,block,age_in_2018
Leyla Parshkova,/en/competition/teams/aze-azerbaijan/players/leyla-parshkova?id=68366,19/08/1998,22,174,57,230.0,225,20
Odina Aliyeva,/en/competition/teams/aze-azerbaijan/players/odina-aliyeva?id=67863,22/05/1990,30,186,82,315.0,295,28
Ayshan Abdulazimova,/en/competition/teams/aze-azerbaijan/players/ayshan-abdulazimova?id=67858,11/04/1993,27,182,68,265.0,260,25
Olena Hasanova,/en/competition/teams/aze-azerbaijan/players/olena-hasanova?id=67866,25/11/1995,25,187,72,305.0,300,23
Yelyzaveta Samadova,/en/competition/teams/aze-azerbaijan/players/yelyzaveta-samadova?id=67876,03/03/1995,25,185,72,305.0,290,23
Natalya Mammadova,/en/competition/teams/aze-azerbaijan/players/natalya-mammadova?id=67872,02/12/1984,36,196,78,319.0,302,34
Jana Kulan,/en/competition/teams/aze-azerbaijan/players/jana-kulan?id=67871,07/07/1987,33,195,76,318.0,302,31
Katerina Zhidkova,/en/competition/teams/aze-azerbaijan/players/katerina-zhidkova?id=67878,28/09/1989,31,187,68,298.0,285,29
Valeriya Mammadova,/en/competition/teams/aze-azerbaijan/players/valeriya-mammadova?id=67873,29/01/1984,36,171,62,260.0,255,34
Krystsina Yagubova,/en/competition/teams/aze-azerbaijan/players/krystsina-yagubova?id=67877,13/02/1996,24,184,69,295.0,285,22
Aynur Imanova,/en/competition/teams/aze-azerbaijan/players/aynur-imanova?id=67867,07/12/1988,32,189,66,290.0,280,30
Iuliia Karimova,/en/competition/teams/aze-azerbaijan/players/iuliia-karimova?id=67869,07/02/1988,32,176,56,260.0,255,30
Polina Rahimova,/en/competition/teams/aze-azerbaijan/players/polina-rahimova?id=67875,05/06/1990,30,195,73,307.0,290,28
Shafagat Alishanova,/en/competition/teams/aze-azerbaijan/players/shafagat-alishanova?id=67859,03/08/1991,29,178,63,287.0,280,27
Bayaz Aliyeva,/en/competition/teams/aze-azerbaijan/players/bayaz-aliyeva?id=67860,09/06/1990,30,176,65,290.0,285,28
Marharyta Azizova,/en/competition/teams/aze-azerbaijan/players/marharyta-azizova?id=67862,25/04/1993,27,186,70,305.0,300,25
Kseniya Pavlenko,/en/competition/teams/aze-azerbaijan/players/kseniya-pavlenko?id=67874,30/08/1993,27,181,76,300.0,297,25
Maryia Kiryliuk,/en/competition/teams/aze-azerbaijan/players/maryia-kiryliuk?id=69407,16/02/1995,25,187,83,305.0,290,23
Eunjin Park,/en/competition/teams/kor-korea/players/eunjin-park?id=68847,15/12/1999,21,187,74,293.0,283,19
Juah Lee,/en/competition/teams/kor-korea/players/juah-lee?id=68843,21/08/2000,20,185,69,282.0,272,18
Hoyoung Jung,/en/competition/teams/kor-korea/players/hoyoung-jung?id=68832,23/08/2001,19,190,70,285.0,260,17
Minkyoung Hwang,/en/competition/teams/kor-korea/players/minkyoung-hwang?id=68831,02/06/1990,30,174,64,290.0,282,28
Hyo Hee Lee,/en/competition/teams/kor-korea/players/hyo-hee-lee?id=68840,09/09/1980,40,173,58,272.0,252,38
Nayeon Lee,/en/competition/teams/kor-korea/players/nayeon-lee?id=68844,25/03/1992,28,173,62,261.0,241,26
Hae Ran Kim,/en/competition/teams/kor-korea/players/hae-ran-kim?id=68834,16/03/1984,36,168,60,270.0,250,34
Myungok Yim,/en/competition/teams/kor-korea/players/myungok-yim?id=68850,05/05/1986,34,175,62,273.0,253,32
Jiyoung Oh,/en/competition/teams/kor-korea/players/jiyoung-oh?id=69629,11/07/1988,32,170,63,267.0,247,30
Yeon Koung Kim,/en/competition/teams/kor-korea/players/yeon-koung-kim?id=68837,26/02/1988,32,192,73,330.0,320,30
Su Ji Kim,/en/competition/teams/kor-korea/players/su-ji-kim?id=68836,11/07/1987,33,187,68,283.0,273,31
Soyoung Lee,/en/competition/teams/kor-korea/players/soyoung-lee?id=68845,17/10/1994,26,176,68,279.0,269,24
Jeongah Park,/en/competition/teams/kor-korea/players/jeongah-park?id=68848,26/03/1993,27,187,75,300.0,290,25
Hyo Jin Yang,/en/competition/teams/kor-korea/players/hyo-jin-yang?id=68849,14/12/1989,31,190,72,340.0,338,29
Sohwi Kang,/en/competition/teams/kor-korea/players/sohwi-kang?id=68833,18/07/1997,23,180,65,286.0,276,21
Jae-Eun Lee,/en/competition/teams/kor-korea/players/jae-eun-lee?id=68841,11/03/1987,33,176,63,274.0,272,31
Jaeyeong Lee,/en/competition/teams/kor-korea/players/jaeyeong-lee?id=68842,15/10/1996,24,178,65,289.0,279,22
Sooji Han,/en/competition/teams/kor-korea/players/sooji-han?id=68830,01/02/1989,31,182,72,285.0,275,29
Dayeong Lee,/en/competition/teams/kor-korea/players/dayeong-lee?id=68839,15/10/1996,24,180,63,291.0,271,22
Hyun Jung Na,/en/competition/teams/kor-korea/players/hyun-jung-na?id=68846,10/03/1990,30,163,54,257.0,250,28
Yerim Go,/en/competition/teams/kor-korea/players/yerim-go?id=68829,12/06/1994,26,177,61,282.0,272,24
Yeongyeon Kim,/en/competition/teams/kor-korea/players/yeongyeon-kim?id=68838,01/12/1993,27,163,54,267.0,247,25
Yana Shcherban,/en/competition/teams/rus-russia/players/yana-shcherban?id=69306,06/09/1989,31,185,71,298.0,294,29
